,week,twitter_per_hour,pos_rate,neg_rate,ratio_pos_neg,favorite_rate,current_rank,date_period,Song_ID,Song_IDN,past_rank_1,past_rank_2,past_rank_3,past_rank_4,past_rank_5,past_rank_6,past_rank_7,past_rank_8,past_rank_9,next_rank,past_rank_0,diff,est
139,1372,0.268612615839,0.4,0.6,0.75,0.4,75,2016-04-10 ~ 2016-04-16,Heartbeat%CARRIE UNDERWOOD,47,56,48,46,44,42,55,58,58,60,80,75,-8.42857142857,88.4285714286
140,1373,0.0119047619048,0.0,1.0,0.333333333333,0.0,80,2016-04-17 ~ 2016-04-23,Heartbeat%CARRIE UNDERWOOD,47,75,56,48,46,44,42,55,58,58,95,80,8.73684210526,86.2631578947
144,1371,0.00595238095238,0.0,0.0,1.0,0.0,16,2016-04-03 ~ 2016-04-09,Hello%ADELE,49,12,11,8,7,6,5,4,3,2,19,16,-0.542168674699,19.5421686747
145,1372,72.8883769355,0.27352297593,0.0700218818381,3.86153846154,0.610503282276,19,2016-04-10 ~ 2016-04-16,Hello%ADELE,49,16,12,11,8,7,6,5,4,3,19,19,-2.34375,21.34375
146,1373,95.4360069916,0.410256410256,0.0695970695971,5.83116883117,0.900183150183,19,2016-04-17 ~ 2016-04-23,Hello%ADELE,49,19,16,12,11,8,7,6,5,4,25,19,4.7182320442,20.2817679558
147,1371,0.00595238095238,0.0,0.0,1.0,0.0,39,2016-04-03 ~ 2016-04-09,Here%ALESSIA CARA,50,32,33,26,21,19,12,10,5,6,47,39,1.87931034483,45.1206896552
150,1371,0.00595238095238,0.0,0.0,1.0,0.0,41,2016-04-03 ~ 2016-04-09,Hide Away%DAYA,51,37,31,23,26,24,25,24,30,31,46,41,-1.35211267606,47.3521126761
159,1371,0.00595238095238,0.0,0.0,1.0,0.0,85,2016-04-03 ~ 2016-04-09,Home Alone Tonight%LUKE BRYAN ,54,70,63,56,52,43,40,38,44,48,91,85,0.0588235294118,90.9411764706
160,1372,0.00595238095238,0.0,0.0,1.0,0.0,91,2016-04-10 ~ 2016-04-16,Home Alone Tonight%LUKE BRYAN ,54,85,70,63,56,52,43,40,38,44,90,91,-3.73684210526,93.7368421053
162,1371,0.00595238095238,0.0,0.0,1.0,0.0,28,2016-04-03 ~ 2016-04-09,Hotline Bling%DRAKE,55,27,24,21,19,16,18,14,9,7,34,28,3.75581395349,30.2441860465
163,1372,0.439278850554,0.125,0.0,2.0,0.125,34,2016-04-10 ~ 2016-04-16,Hotline Bling%DRAKE,55,28,27,24,21,19,16,18,14,9,38,34,-2.85,40.85
164,1373,0.910429776409,0.352941176471,0.0,7.0,0.411764705882,38,2016-04-17 ~ 2016-04-23,Hotline Bling%DRAKE,55,34,28,27,24,21,19,16,18,14,50,38,5.60256410256,44.3974358974
165,1371,0.00595238095238,0.0,0.0,1.0,0.0,58,2016-04-03 ~ 2016-04-09,Humble And Kind%TIM McGRAW,56,57,67,73,88,101,101,95,101,101,51,58,-11.6458333333,62.6458333333
166,1372,0.291805139013,1.0,0.0,8.0,0.571428571429,51,2016-04-10 ~ 2016-04-16,Humble And Kind%TIM McGRAW,56,58,57,67,73,88,101,101,95,101,44,51,-4.55882352941,48.5588235294
167,1373,0.112058768599,0.5,0.0,2.0,4.5,44,2016-04-17 ~ 2016-04-23,Humble And Kind%TIM McGRAW,56,51,58,57,67,73,88,101,101,95,30,44,-12.4411764706,42.4411764706
171,1371,0.00595238095238,0.0,0.0,1.0,0.0,82,2016-04-03 ~ 2016-04-09,I Know What You Did Last Summer%SHAWN MENDES & CAMILA CABELLO,58,71,61,51,37,28,26,25,24,20,88,82,-1.96428571429,89.9642857143
172,1372,0.00595238095238,0.0,0.0,1.0,0.0,88,2016-04-10 ~ 2016-04-16,I Know What You Did Last Summer%SHAWN MENDES & CAMILA CABELLO,58,82,71,61,51,37,28,26,25,24,86,88,-6.97872340426,92.9787234043
174,1371,0.00595238095238,0.0,0.0,1.0,0.0,67,2016-04-03 ~ 2016-04-09,I Like The Sound Of That%RASCAL FLATTS,59,67,72,72,78,79,81,87,101,101,56,67,-12.1574074074,68.1574074074
175,1372,0.00595238095238,0.0,0.0,1.0,0.0,56,2016-04-10 ~ 2016-04-16,I Like The Sound Of That%RASCAL FLATTS,59,67,67,72,72,78,79,81,87,101,52,56,3.31034482759,48.6896551724
176,1373,0.00595238095238,0.0,0.0,1.0,0.0,52,2016-04-17 ~ 2016-04-23,I Like The Sound Of That%RASCAL FLATTS,59,56,67,67,72,72,78,79,81,87,59,52,7.36486486486,51.6351351351
180,1371,0.00595238095238,0.0,0.0,1.0,0.0,11,2016-04-03 ~ 2016-04-09,I Took A Pill In Ibiza%MIKE POSNER,61,10,14,15,24,33,48,59,79,101,10,11,-2.55670103093,12.5567010309
181,1372,1.4857231293,0.0,0.0,1.0,0.0,10,2016-04-10 ~ 2016-04-16,I Took A Pill In Ibiza%MIKE POSNER,61,11,10,14,15,24,33,48,59,79,9,10,-1.22807017544,10.2280701754
182,1373,1.19713542595,0.0,0.0,1.0,0.0714285714286,9,2016-04-17 ~ 2016-04-23,I Took A Pill In Ibiza%MIKE POSNER,61,10,11,10,14,15,24,33,48,59,8,9,-1.43312101911,9.43312101911
183,1371,0.00595238095238,0.0,0.0,1.0,0.0,47,2016-04-03 ~ 2016-04-09,In The Night%THE WEEKND,62,36,28,19,15,14,16,13,13,15,52,47,-20.5416666667,72.5416666667
192,1371,0.00595238095238,0.0,0.0,1.0,0.0,78,2016-04-03 ~ 2016-04-09,Jimmy Choo%FETTY WAP,65,74,73,66,65,69,101,101,101,101,79,78,-3.05882352941,82.0588235294
193,1372,0.00595238095238,0.0,0.0,1.0,0.0,79,2016-04-10 ~ 2016-04-16,Jimmy Choo%FETTY WAP,65,78,74,73,66,65,69,101,101,101,69,79,-15.4,84.4
194,1373,0.00595238095238,0.0,0.0,1.0,0.0,69,2016-04-17 ~ 2016-04-23,Jimmy Choo%FETTY WAP,65,79,78,74,73,66,65,69,101,101,85,69,19.68,65.32
195,1371,0.00595238095238,0.0,0.0,1.0,0.0,24,2016-04-03 ~ 2016-04-09,Jumpman%DRAKE & FUTURE,66,23,22,24,23,22,22,20,14,12,27,24,0.583333333333,26.4166666667
196,1372,5.8124783762,0.0357142857143,0.0,2.0,0.25,27,2016-04-10 ~ 2016-04-16,Jumpman%DRAKE & FUTURE,66,24,23,22,24,23,22,22,20,14,32,27,0.483146067416,31.5168539326
197,1373,47.1554252199,0.283582089552,0.044776119403,5.0,1.16417910448,32,2016-04-17 ~ 2016-04-23,Jumpman%DRAKE & FUTURE,66,27,24,23,22,24,23,22,22,20,23,32,-13.2702702703,36.2702702703
201,1371,0.00595238095238,0.0,0.0,1.0,0.0,38,2016-04-03 ~ 2016-04-09,Let It Go%JAMES BAY,68,50,52,35,38,75,80,75,86,87,35,38,2.68421052632,32.3157894737
202,1372,0.170273146506,0.25,0.0,2.0,0.75,35,2016-04-10 ~ 2016-04-16,Let It Go%JAMES BAY,68,38,50,52,35,38,75,80,75,86,30,35,-5.8,35.8
203,1373,0.00595238095238,1.0,0.0,2.0,0.0,30,2016-04-17 ~ 2016-04-23,Let It Go%JAMES BAY,68,35,38,50,52,35,38,75,80,75,38,30,8.98,29.02
205,1372,63.2466619817,1.0,0.0,26.0,0.0,95,2016-04-10 ~ 2016-04-16,Light It Up%MAJOR LAZER ,69,98,101,101,101,101,101,101,101,101,84,95,-9.72727272727,93.7272727273
206,1373,4.05511958848,1.0,0.0,31.0,0.0,84,2016-04-17 ~ 2016-04-23,Light It Up%MAJOR LAZER ,69,95,98,101,101,101,101,101,101,101,86,84,3.2,82.8
208,1372,0.0119047619048,0.0,0.0,1.0,1.0,93,2016-04-10 ~ 2016-04-16,Like I Would%ZAYN,70,55,101,101,101,101,101,101,101,101,73,93,0.0,73.0
210,1371,0.00595238095238,0.0,0.0,1.0,0.0,46,2016-04-03 ~ 2016-04-09,Like I'm Gonna Lose You%MEGHAN TRAINOR ,71,42,37,31,29,27,20,15,11,9,41,46,-19.7,60.7
211,1372,177.604201737,0.253867151956,0.00409463148317,55.9,0.175159235669,41,2016-04-10 ~ 2016-04-16,Like I'm Gonna Lose You%MEGHAN TRAINOR ,71,46,42,37,31,29,27,20,15,11,46,41,5.83333333333,40.1666666667
213,1371,0.00595238095238,0.0,0.0,1.0,0.0,88,2016-04-03 ~ 2016-04-09,Little Bit Of You%CHASE BRYANT,72,86,82,83,89,99,101,101,101,101,85,88,-6.71666666667,91.7166666667
214,1372,0.00595238095238,0.0,0.0,1.0,0.0,85,2016-04-10 ~ 2016-04-16,Little Bit Of You%CHASE BRYANT,72,88,86,82,83,89,99,101,101,101,79,85,-6.10638297872,85.1063829787
215,1373,0.00595238095238,0.0,0.0,1.0,0.0,79,2016-04-17 ~ 2016-04-23,Little Bit Of You%CHASE BRYANT,72,85,88,86,82,83,89,99,101,101,78,79,1.27777777778,76.7222222222
219,1373,0.00595238095238,0.0,0.0,1.0,0.0,47,2016-04-17 ~ 2016-04-23,Lost Boy%RUTH B,74,67,79,87,86,75,101,101,101,101,51,47,13.3333333333,37.6666666667
220,1371,0.00595238095238,0.0,0.0,1.0,0.0,79,2016-04-03 ~ 2016-04-09,Lost Boy%RUTH B,74,87,86,75,101,101,101,101,101,101,67,79,-6.38461538462,73.3846153846
221,1372,0.325752548712,0.0,0.0,1.0,0.0,67,2016-04-10 ~ 2016-04-16,Lost Boy%RUTH B,74,79,87,86,75,101,101,101,101,101,47,67,-13.9375,60.9375
222,1371,0.00595238095238,0.0,0.0,1.0,0.0,2,2016-04-03 ~ 2016-04-09,Love Yourself%JUSTIN BIEBER,75,2,2,2,2,1,2,1,2,3,3,2,0.538352272727,2.46164772727
223,1372,7.32029017366,1.0,0.0,38.0,0.189189189189,3,2016-04-10 ~ 2016-04-16,Love Yourself%JUSTIN BIEBER,75,2,2,2,2,2,1,2,1,2,5,3,1.11284046693,3.88715953307
224,1373,2.68818183474,1.0,0.0,42.0,0.341463414634,5,2016-04-17 ~ 2016-04-23,Love Yourself%JUSTIN BIEBER,75,3,2,2,2,2,2,1,2,1,6,5,-0.619834710744,6.61983471074
225,1371,0.00595238095238,0.0,0.0,1.0,0.0,35,2016-04-03 ~ 2016-04-09,Low Life%FUTURE ,76,43,56,53,59,52,101,101,101,101,29,35,-1.64285714286,30.6428571429
226,1372,2.25228747947,0.0,0.125,0.5,0.75,29,2016-04-10 ~ 2016-04-16,Low Life%FUTURE ,76,35,43,56,53,59,52,101,101,101,28,29,1.41176470588,26.5882352941
227,1373,3.80453927835,0.0,0.0,1.0,0.0,28,2016-04-17 ~ 2016-04-23,Low Life%FUTURE ,76,29,35,43,56,53,59,52,101,101,29,28,0.347826086957,28.652173913
229,1372,0.177757295456,0.0,0.0,1.0,0.333333333333,80,2016-04-10 ~ 2016-04-16,Make Me Like You%GWEN STEFANI,77,97,101,101,68,54,101,101,101,101,100,80,31.0,69.0
231,1372,0.00595238095238,0.0,0.0,1.0,0.0,7,2016-04-10 ~ 2016-04-16,"Me, Myself & I%G-EAZY & BEBE REXHA",78,7,7,7,7,8,8,10,12,16,8,7,-0.286738351254,8.28673835125
232,1371,0.00595238095238,0.0,0.0,1.0,0.0,7,2016-04-03 ~ 2016-04-09,"Me, Myself & I%G-EAZY & BEBE REXHA",78,7,7,7,8,8,10,12,16,19,7,7,-1.28673835125,8.28673835125
233,1373,0.541380520327,0.0,0.0,1.0,0.666666666667,8,2016-04-17 ~ 2016-04-23,"Me, Myself & I%G-EAZY & BEBE REXHA",78,7,7,7,7,7,8,8,10,12,10,8,0.201680672269,9.79831932773
234,1371,0.00595238095238,0.0,0.0,1.0,0.0,26,2016-04-03 ~ 2016-04-09,Middle%DJ SNAKE ,79,31,50,57,70,73,79,88,95,101,20,26,-4.04918032787,24.0491803279
235,1372,14.7531536147,0.1875,0.03125,4.33333333333,0.71875,20,2016-04-10 ~ 2016-04-16,Middle%DJ SNAKE ,79,26,31,50,57,70,73,79,88,95,22,20,3.72093023256,18.2790697674
236,1373,11.7565458644,0.150442477876,0.0176991150442,6.0,0.911504424779,22,2016-04-17 ~ 2016-04-23,Middle%DJ SNAKE ,79,20,26,31,50,57,70,73,79,88,24,22,-0.0454545454545,24.0454545455
237,1373,0.00595238095238,0.0,0.0,1.0,0.0,78,2016-04-17 ~ 2016-04-23,Might Be%LUKE NASTY,80,83,84,82,78,80,85,101,101,101,83,78,6.60869565217,76.3913043478
