,artist,date,rank,song
0,TAYLOR SWIFT,2015-01-03,1  ,Blank Space
1,HOZIER,2015-01-03,2  ,Take Me To Church
2,MARK RONSON featuring BRUNO MARS,2015-01-03,3  ,Uptown Funk!
3,MEGHAN TRAINOR,2015-01-03,4  ,Lips Are Movin'
4,SAM SMITH,2015-01-03,5  ,I'm Not The Only One
5,ED SHEERAN,2015-01-03,6  ,Thinking Out Loud
6,MEGHAN TRAINOR,2015-01-03,7  ,All About That Bass
7,MAROON 5,2015-01-03,8  ,Animals
8,ARIANA GRANDE & THE WEEKND,2015-01-03,9  ,Love Me Harder
9,TAYLOR SWIFT,2015-01-03,10 ,Shake It Off
10,NICK JONAS,2015-01-03,11 ,Jealous
11,"NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",2015-01-03,12 ,Only
12,SELENA GOMEZ,2015-01-03,13 ,The Heart Wants What It Wants
13,BIG SEAN featuring E-40,2015-01-03,14 ,I Don't Fuck With You
14,TOVE LO,2015-01-03,15 ,Habits (Stay High)
15,I LOVE MAKONNEN featuring DRAKE,2015-01-03,16 ,Tuesday
16,ED SHEERAN,2015-01-03,17 ,Don't
17,MR. PROBZ,2015-01-03,18 ,Waves
18,"JESSIE J, ARIANA GRANDE & NICKI MINAJ",2015-01-03,19 ,Bang Bang
19,BEYONCE,2015-01-03,20 ,7/11
20,CALVIN HARRIS featuring JOHN NEWMAN,2015-01-03,21 ,Blame
21,RAE SREMMURD,2015-01-03,22 ,No Type
22,JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE,2015-01-03,23 ,The Hanging Tree
23,BOBBY SHMURDA,2015-01-03,24 ,Hot Boy
24,SAM SMITH,2015-01-03,25 ,Stay With Me
25,FALL OUT BOY,2015-01-03,26 ,Centuries
26,O.T. GENASIS,2015-01-03,27 ,CoCo
27,IGGY AZALEA featuring MO,2015-01-03,28 ,Beg For It
28,JEREMIH featuring YG,2015-01-03,29 ,Don't Tell 'Em
29,IGGY AZALEA featuring RITA ORA,2015-01-03,30 ,Black Widow
30,JASON DERULO,2015-01-03,31 ,Trumpets
31,VANCE JOY,2015-01-03,32 ,Riptide
32,RICH GANG featuring YOUNG THUG & RICH HOMIE QUAN,2015-01-03,33 ,Lifestyle
33,SIA,2015-01-03,34 ,Chandelier
34,ALESSO featuring TOVE LO,2015-01-03,35 ,Heroes (We Could Be)
35,CLEAN BANDIT featuring JESS GLYNNE,2015-01-03,36 ,Rather Be
36,USHER featuring JUICY J,2015-01-03,37 ,I Don't Mind
37,CARRIE UNDERWOOD,2015-01-03,38 ,Something In The Water
38,TIM McGRAW,2015-01-03,39 ,Shotgun Rider
39,MARIAH CAREY,2015-01-03,40 ,All I Want For Christmas Is You
40,FERGIE,2015-01-03,41 ,L.A.LOVE (la la)
41,MILKY CHANCE,2015-01-03,42 ,Stolen Dance
42,MAGIC!,2015-01-03,43 ,Rude
43,"DJ KHALED feat CHRIS BROWN, AUGUST ALSINA, FUTURE & JEREMIH",2015-01-03,44 ,Hold You Down
44,DEJ LOAF,2015-01-03,45 ,Try Me
45,ECHOSMITH,2015-01-03,46 ,Cool Kids
46,TREY SONGZ featuring NICKI MINAJ,2015-01-03,47 ,"Touchin', Lovin'"
47,PENTATONIX,2015-01-03,48 ,"Mary, Did You Know?"
48,CHRIS BROWN featuring USHER & RICK ROSS,2015-01-03,49 ,New Flame
49,T.I. featuring YOUNG THUG,2015-01-03,50 ,About The Money
50,ERIC CHURCH,2015-01-03,51 ,Talladega
51,BRAD PAISLEY,2015-01-03,52 ,Perfect Storm
52,ONE DIRECTION,2015-01-03,53 ,Night Changes
53,BLAKE SHELTON featuring ASHLEY MONROE,2015-01-03,54 ,Lonely Tonight
54,NICKI MINAJ,2015-01-03,55 ,Anaconda
55,ED SHEERAN,2015-01-03,56 ,Make It Rain
56,ELLA HENDERSON,2015-01-03,57 ,Ghost
57,FLORIDA GEORGIA LINE,2015-01-03,58 ,Sun Daze
58,CRAIG WAYNE BOYDE,2015-01-03,59 ,The Old Rugged Cross
59,DAVID GUETTA featuring SAM MARTIN,2015-01-03,60 ,Dangerous
60,LUKE BRYAN,2015-01-03,61 ,I See You
61,MADDIE & TAE,2015-01-03,62 ,Girl In A Country Song
62,IMAGINE DRAGONS,2015-01-03,63 ,I Bet My Life
63,ARIANA GRANDE,2015-01-03,64 ,Santa Tell Me
64,KEITH URBAN,2015-01-03,65 ,Somewhere In My Car
65,RAE SREMMURD,2015-01-03,66 ,No Flex Zone!!
66,ONEREPUBLIC,2015-01-03,67 ,I Lived
67,KENNY CHESNEY,2015-01-03,68 ,Til It's Gone
68,PARMALEE,2015-01-03,69 ,Close Your Eyes
69,ONE DIRECTION,2015-01-03,70 ,Steal My Girl
70,RAELYNN,2015-01-03,71 ,God Made Girls
71,LEE BRICE,2015-01-03,72 ,Drinking Class
72,J. COLE,2015-01-03,73 ,Wet Dreamz
73,THE WEEKND,2015-01-03,74 ,Often
74,BEYONCE featuring NICKI MINAJ or CHIMAMANDA NGOZI ADICHIE,2015-01-03,75 ,***Flawless
75,TAYLOR SWIFT,2015-01-03,76 ,Style
76,COLBIE CAILLAT,2015-01-03,77 ,Try
77,AUGUST ALSINA,2015-01-03,78 ,No Love
78,LILLYWOOD & ROBIN SCHULZ,2015-01-03,79 ,Prayer In C
79,THOMAS RHETT,2015-01-03,80 ,Make Me Wanna
80,MATT McANDREW,2015-01-03,81 ,Make It Rain
81,BRETT ELDREDGE,2015-01-03,82 ,Mean To Me
82,WALK THE MOON,2015-01-03,83 ,Shut Up And Dance
83,JASON ALDEAN,2015-01-03,84 ,Just Gettin' Started
84,NE-YO featuring JUICY J,2015-01-03,85 ,She Knows
85,LORDE,2015-01-03,86 ,Yellow Flicker Beat
86,FLO RIDA featuring SAGE THE GEMINI & LOOKAS,2015-01-03,87 ,G.D.F.R.
87,PITBULL featuring JOHN RYAN,2015-01-03,88 ,Fireball
88,NICO & VINZ,2015-01-03,89 ,In Your Arms
89,SAM SMITH,2015-01-03,90 ,Have Yourself A Merry Little Christmas
90,RANDY HOUSER,2015-01-03,91 ,Like A Cowboy
91,KID INK featuring USHER & TINASHE,2015-01-03,92 ,Body Language
92,THE WHITE BUFFALO & THE FOREST RANGERS,2015-01-03,93 ,Come Join The Murder
93,FIFTH HARMONY,2015-01-03,94 ,Sledgehammer
94,J. COLE,2015-01-03,95 ,No Role Modelz
95,JESSIE J featuring 2 CHAINZ,2015-01-03,96 ,Burnin' Up
96,DARIUS RUCKER,2015-01-03,97 ,Homegrown Honey
97,CHRIS JAMISON,2015-01-03,98 ,When I Was Your Man
98,BLAKE SHELTON,2015-01-03,99 ,Neon Light
99,CHARLI XCX,2015-01-03,100,Break The Rules
0,TAYLOR SWIFT,2015-01-10,1  ,Blank Space
1,HOZIER,2015-01-10,2  ,Take Me To Church
2,MARK RONSON featuring BRUNO MARS,2015-01-10,3  ,Uptown Funk!
3,ED SHEERAN,2015-01-10,4  ,Thinking Out Loud
4,MEGHAN TRAINOR,2015-01-10,5  ,Lips Are Movin'
5,SAM SMITH,2015-01-10,6  ,I'm Not The Only One
6,ARIANA GRANDE & THE WEEKND,2015-01-10,7  ,Love Me Harder
7,NICK JONAS,2015-01-10,8  ,Jealous
8,MAROON 5,2015-01-10,9  ,Animals
9,MEGHAN TRAINOR,2015-01-10,10 ,All About That Bass
10,TAYLOR SWIFT,2015-01-10,11 ,Shake It Off
11,BIG SEAN featuring E-40,2015-01-10,12 ,I Don't Fuck With You
12,SELENA GOMEZ,2015-01-10,13 ,The Heart Wants What It Wants
13,MATT McANDREW,2015-01-10,14 ,Wasted Love
14,"NICKI MINAJ featuring DRAKE, LIL WAYNE & CHRIS BROWN",2015-01-10,15 ,Only
15,TOVE LO,2015-01-10,16 ,Habits (Stay High)
16,I LOVE MAKONNEN featuring DRAKE,2015-01-10,17 ,Tuesday
17,MR. PROBZ,2015-01-10,18 ,Waves
18,ED SHEERAN,2015-01-10,19 ,Don't
19,FALL OUT BOY,2015-01-10,20 ,Centuries
20,JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE,2015-01-10,21 ,The Hanging Tree
21,"JESSIE J, ARIANA GRANDE & NICKI MINAJ",2015-01-10,22 ,Bang Bang
22,RAE SREMMURD,2015-01-10,23 ,No Type
23,BEYONCE,2015-01-10,24 ,7/11
24,BOBBY SHMURDA,2015-01-10,25 ,Hot Boy
25,CALVIN HARRIS featuring JOHN NEWMAN,2015-01-10,26 ,Blame
26,SAM SMITH,2015-01-10,27 ,Stay With Me
